school,major,name,keyword1,keword2,keword3,,,branch,region
서울대학교,건설환경공학부,김성렬,기초구조물설계,내진설계,연약지반침하,,,건축,서울
서울대학교,공학전문대학원,박창우,딥러닝,머신러닝,빅데이터,,,IT,서울
부산대학교,전기컴퓨터공학전공,이명호,AR ,VR,XR,,,IT,경상
한양대학교,인공지능학과,김동진,Computer Vision,Machine Learning,Multi-modal Learning,,,IT,서울
국민대학교,정보보안암호수학과,서석충,임베디드 보안,하드웨어,소프트웨어,,,IT,서울
한양대학교,인공지능학과,정해준,광학,딥러닝,메타물질,,,IT,서울
한양대학교(에리카),인공지능학과,유용재,HAI,HCI,다중감각,,,IT,경기
POSTECH,인공지능,박재식,3d vision,computer vision,Machine Learning,,,IT,경상
POSTECH,인공지능,박은혁,,,,,,IT,경상
POSTECH,인공지능,김동우,deep learning,machine learning,,,,IT,경상
POSTECH,인공지능,안희갑,Algorithms,AI Algorithms,Data structures,,,IT,경상
POSTECH,컴퓨터공학과,김광선,GPU architecture,Memory system,NPU architecture,,,IT,경상
POSTECH,인공지능,김원화,Computer Vision,Deep learning,Neuroimaging,,,IT,경상
GIST,AI대학원,김강일,,,,,,IT,전라 
GIST,AI대학원,김종원,,,,,,IT,전라 
GIST,AI대학원,안창욱,,,,,,IT,전라 
GIST,AI대학원,이현주,,,,,,IT,전라 
GIST,AI대학원,임혁,,,,,,IT,전라 
GIST,AI대학원,최종현,,,,,,IT,전라 
GIST,AI대학원,박건혁,,,,,,IT,전라 
연세대학교(미래),컴퓨터정보통신공학부,고요한,DNN,가속기,신뢰성 ,,,IT,강원
창원대학교,컴퓨터공학과,강동현,시스템 소프트웨어,운영체제,AI 시스템,,,IT,경상
성신여자대학교,컴퓨터공학과,김규영,데이터센터,클라우드컴퓨팅,프로그래머블데이터평면,,,IT,서울
경북대학교,컴퓨터학부,권영우,IoT,분산시스템,Disaster,,,IT,경상
동서대학교,소프트웨어학과,한창희,인공지능,머신러닝,딥러닝,,,IT,경상
UNIST,컴퓨터공학과,이주용,소프트웨어,소프트웨어 테스팅,프로그램 분석,,,IT,경상
UNIST,컴퓨터공학과,문현곤,시스템 보안,인공지능 보안,클라우드 보안,,,IT,경상
UNIST,인공지능,윤성환,강화학습,정보이론,통신공학,,,IT,경상
전북대학교,소프트웨어공학과,류덕산,LLM,딥러닝,머신러닝,,,IT,전라
경희대학교(국제),소프트웨어융합학과,황효석,computer vision,machine learning,robot vision,,,IT,경기
전남대학교,소프트웨어공학과,유석봉,시각지능,영상처리,컴퓨터비전,,,IT,전라
숭실대학교,소프트웨어학부,공영호,AI,성능최적화,저전력설계,,,IT,서울
고려대학교(세종),인공지능사이버보안학과,노희준,보안,네트워크,Security,,,IT,서울
UST,인공지능,최두섭,Artificial Intelligence,Cintrol,Planning,,,IT,충청
서울과학기술대학교,인공지능응용학과,김병수,디지털 트윈,스마트 제조,인공지능,,,IT,서울
서울과학기술대학교,인공지능응용학과,김성은,뇌공학,뇌과학,딥러닝,,,IT,서울
아주대학교,소프트웨어학과,안정섭,데이터센터,인공지능 시스템,컴퓨터 시스템,,,IT,경기
성균관대학교(자연과학),소프트웨어학과,박호건,그래프,기계학습,상호작용,,,IT,경기
성균관대학교(자연과학),소프트웨어학과,구형준,시스템 보안,인공지능을 활용한 보안,프라이버시,,,IT,경기
성균관대학교(자연과학),소프트웨어학과,조형민,딥러닝 가속기,컴퓨터구조,프로세서 아키텍처,,,IT,경기
성균관대학교(자연과학),소프트웨어학과,서의성,AI 시스템,스토리지 시스템,시스템 소프트웨어,,,IT,경기
한양대학교,컴퓨터소프트웨어학부,조영필,보안,시스템,Security,,,IT,서울
서울과학기술대학교,인공지능응용학과,박종열,강화학습,딥페이크,사물인식,,,IT,서울
한국기술교육대학교,컴퓨터공학부,오흥선,Computer Vision,Deep learning,Natural Language Processing,,,IT,충청
고려대학교(세종),인공지능사이버보안,최성준,로보틱스,Human-robot interaction,Embodied AI,,,IT,서울
고려대학교,컴퓨터과학과,인호,AI,DID,ZKP,,,IT,서울
한양대학교,인공지능학과,정해준,딥러닝,광학,인공지능,,,IT,서울
KAIST,전산학부,강민석,네트워크 보안,블록테인 보안,이동통신 보안,,,IT,충청
KAIST,전산학부,백종문,AI,소프트웨어공학,신뢰성공학,,,IT,충청
KAIST,전산학부,유신,SE4ML,자동디버깅,프로그램자동수정,,,IT,충청
KAIST,전산학부,강지훈,반도체,AI 시스템,컴파일러,,,IT,충청
KAIST,전산학부,박종세,HW-SW 통합설계,컴퓨터구조,인공지능,,,IT,충청
GIST,지구환경공학부,황희정,극한환경연구,환경오염물질포집 및 처리,고체지구물질순환,,,환경,전라
POSTECH,환경공학,송우철,기체분리,분리막 ,수처리,,,환경,경상
POSTECH,환경공학,감종훈,,,,,,환경,경상
서울대학교,지구환경과학부,정해진,기후변화 예측,미세조류,해양생물부,,,환경,서울
연세대학교,건설환경공학과,김상현,바이오가스,환경공학,유기성폐기물,,,환경,서울
연세대학교,건설환경공학과,김형일,광촉매,실내공기정화,환경에너지,,,환경,서울
한양대학교 건설환경공학,,박재우,sediment,dendrimer,photocatalyst,,,환경,서울
성균관대학교(자연과학),건설환경공학부,심성한,Structural Health Monitoring,스마트 건설,환경,,,환경,경기
성균관대학교(자연과학),건설환경공학부,최민하,수자원,수재해,지구환경,,,환경,경기
서울대학교,환경계획학과,한상진,교통안전,교통운영,지속가능한교통,,,환경,서울
경북대학교,환경공학과,박창민,Water treatment,,,,,환경,경상
고려대학교,건축사회환경공학과,지광습,건설기준,구조해석,데이터공학,,,건축,서울
아주대학교,건축학과,최병주,건설관리,건설안전,스마트건축,,,건축,경기
전남대학교,건축학부,이방연,ECC,UHPC,콘크리트,,,건축,전라
전남대학교,건축학부,최원준,건물에너지,건물에너지진단,모델예측제어,,,건축,전라
KAIST,건설환경공학과,김재홍,civil engineering,future city,mechanics,,,건축,충청
KAIST,건설환경공학과,주진현,digital twin,computation mechanics,geomechanics,,,건축,충청
KAIST,건설환경공학과,한동훈,도시계획,도시성장관리,지속가능한 도시개발,,,건축,충청
한양대학교,실내건축디자인학과,현경훈,Computational Design,Design Automation,Design Exploration,,,건축,서울
숭실대학교,건축학부,박치영,,,,,,건축,서울
단국대학교,건축공학과,김현수,,,,,,건축,경기
경일대학교,건축토목공학과,손수원,,,,,,건축,경상
서울과학기술대학교,건설시스템공학과,정은성,기후변화 예측,기후변화 적용,수문학,,,환경,서울
서울과학기술대학교,건설시스템공학과,한유경,Remote Sensing,Image Processing ,AI,,,건축,서울
아주대학교,건설시스템공학과,장일한,Biogeotechnology,Climate change,바이오폴리머-기반 흙 처리,,,건축,경기
세종대학교,건설환경공학과,권현한,Bayesian Modeling,Climate Change,Machine Learning,,,환경,서울
서울과학기술대학교,철도건설공학과,조국환,남북철도,접속부,지반,,,건축,서울
동국대학교,건설환경공학과,강주현,데이터마이닝,수자원환경,오염원추적,,,환경,서울
한밭대학교,건설환경공학과,주진철,생태융합환경기술,수질 및 수생태계 관리,ICT 기반 모델링,,,환경,충청
한국생상기술연구원,친환경재료공정연구그룹,이재원,공정시스템,석유화학,탄소중립,,,환경,경상
명지대학교,환경에너지공학과,유윤철,Membrane,AI based Membrance technology,ultra water process,,,환경,경기
공주대학교,지질환경과학과,이경북,머신러닝,지하공간모델링,지구통계학,,,환경,충청
한국외국어대학교(글로벌),환경학과,이태형,Air Pollution,Fog and Cioud Chemistry and interaction with Aerosol,Instrument development and analysis,,,환경,서울
한국외국어대학교(글로벌),환경학과,정태용,환경,환경공학,환경학,,,환경,서울
고려대학교(세종),환경시스템공학과,김성표,하수역학,에너지전환,미량오염물질,,,환경,서울
GIST,지구환경공학부,김창우,나노물질,나노플라스틱,정수처리,,,환경,전라
UNIST,도시환경공학과,조경화,물,환경,수질,,,환경,경상
UNIST,경영과학부,신상욱,Asset Pricing,Financial Intermediation,Investment,,,경영,경상
국민대학교,경영정보학부,김남규,데이터마이닝,데이터모델링,텍스트분석,,,IT,서울
경희대학교(국제),산업경영공학과,산업공학,인공지능,시뮬레이션,,,,,경기
경상국립대학교,경영정보학과,유동희,딥러닝,인공지능,추천시스템,,,IT,경상
국민대학교,경영학부,J모,디자인 씽킹,행동경제학,신제품 개발,,,경영,서울
동아대학교,산업경영공학과,정윤제,디지털 물류 플랫폼,항만물류,공급망관리,,,,경상
명지대학교,산업경영공학과,한민탁,기술경영,기술예측,비즈니스 인텔리전스,,,경영,경기
부경대학교,기술경영전문대학원,천동필,비즈니스모델,과학기술정책,ESG와 혁신,,,경영,경상
한양대학교,교육공학과,유영만,,,,,,교육,서울
공주대학교,화학교육과,이혁진,금속효소,아밀로이드,알츠하이머,,,교육,충청
한동대학교,AI융합교육원,Optimization,Machine learning,Advanced Air Mobility,,,,교육,경상
서울대학교,화학교육과,유재훈,,,,,,교육,서울
서울대학교,화학교육과,노태희,,,,,,교육,서울
서울대학교,화학교육과,안지현,,,,,,교육,서울
서울대학교,화학교육과,정대홍,,,,,,교육,서울
경인교육대학교,교육학과,김종민,,,,,,교육,인천
전북대학교,과학교육학부,문병권,,,,,,교육,전라
서강대학교,교육대학원,김구연,,,,,,교육,서울
연세대학교,체육교육학과,서상훈,,,,,,교육,서울
공주대학교,특수교육과,백은희,,,,,,교육,충청
공주대학교,특수교육과,전병운,,,,,,교육,충청
공주대학교,특수교육과,노진아,,,,,,교육,충청
공주대학교,특수교육과,임경원,,,,,,교육,충청
공주대학교,특수교육과,이미숙,,,,,,교육,충청
공주대학교,특수교육과,곽승철,,,,,,교육,충청
공주대학교,특수교육과,최상배,,,,,,교육,충청
국민대학교,교육학과,곽수범,,,,,,교육,서울
성균관대학교,컴퓨터교육,류은석,3DGS,VVC,가상현실,,,교육,서울
조선대학교,물리교육과,명노준,2차원 광전소자,2차원물질,그래핀,,,교육,전라
광주여자대학교,초등특수교육과,이재호,,,,,,교육,전라
공주교육대학교,과학교육과,권승혁,뇌기반교육,과학교육,디지털 교육,,,교육,충청
경상국립대학교,체육교육과,홍덕기,,,,,,교육,경상
KAIST,기계공학과,남영석,,,,,,기계,충청
POSTECH,기계공학과,안지환,ALD,PEALD,SOEC,,,기계,경상
고려대학교,기계공학부,한창수,달팽이관모방센서,로봇의수센서,마이크로포어센서,,,기계,서울
고려대학교,기계공학부,문두환,산업 데이터 표준,엔지니어링 응용을 위한 VR,제품 생애주기 관리,,,기계,서울
고려대학교,기계공학부,김혜정,기능성고분자,물관리,생체모방기술,,,기계,서울
고려대학교,기계공학부,유동주,리튬이온전지,소재 합성 및 분석,전고체 전지,,,기계,서울
UNIST,기계공학과,장재성,공기 포집기,미세먼지,바이러스 에어로졸,,,기계,경상
UNIST,기계공학과,오현동,Control,Drone,Optimization,,,기계,경상
UNIST,기계공학과,정하영,머신러닝,멀티스케일해석,위상최적설계,,,기계,경상
성균관대학교(자연과학),기계공학부,박문수,기계학습,에너지 ,열공학,,,기계,경기
성균관대학교(자연과학),기계공학부,로드리그 휴고,로보틱스,소프트 로보틱스,소프트 액추에이터,,,기계,경기
성균관대학교,기계공학부,조정완,반도체,열공학,정밀계측,,,기계,경기
성균관대학교(자연과학),기계공학부,백상열,나노복합소재,생체모사공학,소프트 로봇,,,기계,경기
건국대학교,기계항공공학부,박수한,실도로 주행평가,유동가시화,전기자동차,,,기계,서울
한양대학교(에리카),기계공학과,오준호,나노기능성표면,냉각시스템,발수표면,,,기계,경기
한양대학교(에리카),기계공학과,안유민,마이크로전자기계시스템,반도체제조공정,연료전지,,,기계,경기
경북대학교,기계공학부,최상헌,유체역학,의공학,CFD,,,기계,경상
서울과학기술대학교,기계시스템디자인공학과,이창환,소성가공,유한요소 해석,고온연료전지해석,,,기계,서울
인하대학교,기계공학과,박일웅,미세구조 ,열공학,열전달,,,기계,인천
숙명여자대학교,기계시스템학부,김수영,ADAS 제어,강건 제어,자율주행 차,,,기계,서울
중앙대학교,기계공학부,이기욱,머신러닝,생체역학,소프트 센서,,,기계,서울
중앙대학교,기계공학부,이영석,공중제어,공정최적화,구조해석,,,기계,서울
서울과학기술대학교,기계자동차공학과,옥종걸,기능성표면,나노소재,디스플레이,,,기계,서울
동국대학교,기계로봇에너지공학과,이진우,Soft robotics,Thermal engineering,Wearable Electronics,,,기계,서울
서울시립대학교,기계정보공학과,황면중,Robotics,Robot mechanism,Pobot vision,,,기계,서울
국민대학교,융합기계공학전공,정재일,반도체 장비용 스테이지 설계,필드로봇 시스템 설계,자율주행자동차 안전시스템,,,기계,서울
세종대학교,기계항공우주공학부,이균호,CFD,로켓,연소,,,기계,서울
강릉원주대학교(원주),기계공학과,백재민,Autonomous Vechile,Meachine learning,Missile,,,기계,서울
경희대학교(국제),기계공학과,김진균,CAE,동역학,진동,,,기계,서울
성균관대학교(자연과학),기계공학부,이준,미세구조물,복합레진,적층제조,,,기계,경기
KAIST,기계공학과,김정원,imaging,advanced lasers,LiDARs,,,기계,충청
KAIST,기계공학과,김형수,Experimental Fluid Mechanics,Soft Matter Hydronamics,,,,기계,충청
KAIST,기계공학과,공경철,Control Applications,Control Theory,Sensor,,,기계,충청
KAIST,기계공학과,김영진,광학,그래핀,레이저,,,기계,충청
중앙대학교,기계공학부 ,이상민,마찰대전 나노발전기,손실에너지 수확,에너지전달매게,,,기계,서울
서울대학교,식품동물생명공학부,유경록,,,,,,동물,서울
전남대학교,동물자원학부,김성학,반려견 유선종양,한우 기능유전체,한우 유전체 검사,,,동물,전라
건국대학교,동물자원과학과,김수기,,,,,,동물,서울
강원대학교,동물자원과학과,성경일,,,,,,동물,강원
중앙대학교(안성),동물생명공학과,길동용,,,,,,동물,경기
순천대학교,동물자원과학과,양철주,,,,,,동물,전라
충남대학교,동물자원과학부,안희권,,,,,,동물,충청
전북대학교,동물자원학과,최낙진,,,,,,동물,전라
전북대학교,동물자원학과,황인호,,,,,,동물,전라
서울대학교,수의학과,강경선,,,,,,의료,서울
충남대학교,수의학과,박정은,,,,,,의료,충청
충북대학교,수의학과,최경철,,,,,,의료,충청
충북대학교,수의학과,서광원,마이크로바이옴,인수공통전염병,차세대 염기서열 분석법,,,의료,충청
충북대학교,수의학과,민경덕,GIS,감영병 확산 수리모델,근거기반 수의학,,,의료,충청
건국대학교,수의학과,김시윤,3D 프린팅,세포칩,융합연구,,,의료,서울
기초과학연구원,나노의학연구단,곽민석,CAR T cell,cell signaling,synthetic biology,,,의료,서울
연세대학교,기초의학교실,김자영,바이오센서,연료전지,웨어러블,,,의료,서울
연세대학교,기초의학교실,오지원,NGS,Organoid,돌연변이,,,의료,서울
연세대학교,기초의학교실,곽기혁,백신,자가관영,자가면역,,,의료,서울
부산대학교,기초의학교실,이현수,의료인공지능,디지털 헬스케어,신경과학,,,의료,부산
아주대학교,기초의학교실,이문재,기술산업화,디지털 헬스케어,보건의료정책,,,의료,경기
강원대학교,기초의학교실,김영명,,,,,,의료,강원
가톨릭대학교,임상의학교실,김영율,bone,muscle,disc,,,의료,경기
중앙대학교,기초의학교실,정경오,나노의학,분자영상,엑소좀,,,의료,서울
중앙대학교,기초의학교실,고기성,항체,바이러스,백신,,,의료,서울
울산대학교,임상의학교실,홍석찬,류마티스학,면역학,자가면역,,,의료,경상
연세대학교,임상의학교실,김진권,뇌졸증,,,,,의료,서울
연세대학교,임상의학교실,박형석,전임상모델,PDX,Oragnoids,,,의료,서울
연세대학교,임상의학교실,김종훈,B 세포,T 세포,피부면역,,,의료,서울
가톨릭대학교,기초의학교실,배상혁,역학,환경보건,,,,의료,경기
가톨릭대학교,기초의학교실,구희범,나노입자,약물전달,유전자전달,,,의료,경기
가톨릭대학교,기초의학교실,김지윤,Liver cancer,Coion cancer,QMR,,,의료,경기
가톨릭대학교,기초의학교실,한성필,계량약리학,데이터과학,신약개발,,,의료,경기
가톨릭대학교,기초의학교실,성원모,몬테카를로,방사선영상,방사선치료,,,의료,경기
가톨릭대학교,기초의학교실,유태룡,전자현미경,교세포,뇌졸증,,,의료,경기
가톨릭대학교,기초의학교실,이상화,단분자 이미징,단분자 프렛,바이오센싱,,,의료,경기
가톨릭대학교,기초의학교실,박용수,망막,신경과학,전기생리학,,,의료,경기
