school,major,name,keyword1,keword2,keword3,,,branch,region
부산대학교,임상의학교실,박경준,핵의학,PET,뇌영상,,,의료,부산
충남대학교,기초의학교실,박종선,당뇨병,세포 에너지 대사,Cancer Metebolism,,,의료,충청
성균관대학교(자연과학),기초의학교실,권영대,Aging,Stress,Nucleolus,,,의료,경기
성균관대학교(자연과학),기초의학교실,이승원,디지털 헬스케어,의료 빅데이터,차세대 의료,,,의료,경기
가천대학교,기초의학,김광민,Brain imaging,Human in vitro brain,Image processing,,,의료,경기
울산대학교,기초의학교실,장수환,,,,,,의료,경상
강원대학교,임상의학교실,홍석호,,,,,,의료,강원
건국대학교,수의학과,김시윤,세포칩,센서/조직공학,3D 프린팅,,,의료,서울
경북대학교,기초치의학교실,김도연,노화,신경줄기세포,암,,,의료,경상
중앙대학교,임상의학교실,김지택,당뇨망막증,망막,유전자전달,,,의료,서울
한림대학교,의학과,유승진,,,,,,의료,강원
가천대학교,한의학과,김창업,,,,,,의료,경기
대구가톨릭대학교,의학과,홍재우,,,,,,의료,경상
단국대학교,의학과,임남규,저흉처,창상치유,,,,의료,경기
순청향대학교,의학과,최동식,엑소좀,프로테오믹스,,,,의료,충청
서울대학교,의학과,방예지,Pathogen,Microbiology,Microbiota,,,의료,서울
제주대학교,의학과,김진우,,,,,,의료,제주
제주대학교,의학과,김의태,viral vector,innate immunity,molecular virology,,,의료,제주
차의과학대학교,임상의학교실,유준환,,,,,,의료,경기
아주대학교,의학과,김태준,딥러닝,뇌전증,수면질환,,,의료,경기
경희대학교(국제),의학과,김만석,의료인공지능,멀티오믹스,Bioinformatics,,,의료,서울
경희대학교(국제),의학과,이윤성,Leukemia,Disease Model,Zebrafish,,,의료,서울
전북대학교,수의학과,조호성,ASF,FMD,Zoonosis,,,의료,전라
경북대학교,의료정보학교실,정성문,Deep Learning,Medical Informatics,Cognitive Hospital,,,의료,경상
UNIST,물리학과,김재업,기계학습,나노구조,딥러닝,,,물리,경상
UNIST,물리학과,김대식,나노 광학,나노 안테나,나노갭,,,물리,경상
UNIST,물리학과,권우진,보즈-아인슈타인 응집,원자 초유체,극저온 양자 기체,,,물리,경상
연세대학교,물리학과,김재훈,2차원 자성,마그논,다강체,,,물리,서울
연세대학교,물리학과,오경환,고기능성물질활용한 초고송광펄스생성,광유체역학,광히집게와 광학수송,,,물리,서울
POSTECH,물리학과,이길호,quantum devide,,,,,물리,경상
GIST,물리광과학과,신동빈,QEDDFT,ab initio development,Light-matter interaction,,,물리,전라
부산대학교,물리학과,이재광,density functional calculations,molecular dynamics simulations,,,,물리,부산
중앙대학교,물리학과,서재민,강화학습,시뮬레이션,플라즈마,,,물리,서울
충남대학교,물리학과,전민용,Fiber optics,Fiber Lasers,Photonics,,,물리,충청
인하대학교,물리학과,최민석,2D 물질,반도체 ,고체물질이론,,,물리,인천
인하대학교,물리학과,유석재,양자물질,나노포토닉스,광학,,,물리,인천
경상국립대학교,물리학과,정성원,MBE,LEED,vdW crystals,,,물리,경상
KAIST,물리학,조성재,nano device,quantum transport,topological phenomena,,,물리,충청
KAIST,물리학,김은성,,,,,,물리,충청
공주대학교,데이터정보물리학과,이욱재,광집적소자,단일광자,포노닉스,,,물리,충청
서울대학교,생명과학부,이은주,기후변화 예측,생태학,외래식물,,,생명,서울
서울대학교,생명과학부,장혜식,RNA,데이터사이언스,바이러스 에어로졸,,,생명,서울
서울대학교,생명과학부,마틴 스타이네거,algorithms,bioinformatics,Machine Learning,,,생명,서울
서울대학교,생명과학부,황수석,감염면역,만성면역질환,면역학,,,생명,서울
고려대학교,화공생명공학과,양동수,대사공학,장내미생물,천연물,,,생명,서울
연세대학교,생명공학과,반용선,Candida,Mycology,Fungal Genetics,,,생명,서울
GIST,의생명공학과,정의헌,Stroke,Translational medicine,in vivo imaging,,,생명,전라
건국대학교,융합생명공학과,여운석,바이오센싱,바이오칩,생분석화학,,,생명,서울
아주대학교,응용화학생명공학과,유태현,단백질 공학,단백질 스위치,단백질 접합체,,,생명,경기
부산대학교,생명과학과,김태진,Bioimaging,cell signaling,Biosensor,,,생명,부산
경기대학교,생명과학,이영수,대식세포,염증반응,염증복합체,,,생명,경기
중앙대학교,생명과학과,김학균,cancer,RNA,translation,,,생명,서울
경북대학교,생명과학부,이준영,,,,,,생명,경상
인하대학교,생명공학과,임현규,대사공학,바이오매스,미생물,,,생명,인천
이화여자대학교,화학생명분자과학부 화학나노과학전공,김진흥,광화학반응,배위금속촉매,인공광합성,,,생명,서울
전남대학교,농식품생명화학부,홍석환,,,,,,생명,전라
강원대학교,분자생명과학과,황병준,,,,,,생명,강원
KAIST,뇌인지과학,백세범,계산뇌과학,신경과학,뇌과학,,,생명,충청
인천대학교,생명공학부,장성호,RNA 치료제,대사공학,미생물 기반 치료제,,,생명,인천
부산대학교,생명환경화학과,손홍주,,,,,,생명,경상
부산대학교,생명환경화학과,김근기,,,,,,생명,경상
부산대학교,생명환경화학과,홍창오,,,,,,생명,경상
인천대학교,생명공학부 나노바이오전공,양성구,,,,,,생명,인천
아주대학교,의생명과학과,권명희,,,,,,생명,경기
경상국립대학교,응용생명과학부,김명옥,,,,,,생명,경상
인하대학교,생명과학과,조장천,,,,,,생명,인천
전북대학교,생명공학부,장점석,,,,,,생명,전라
강원대학교,의생명과학과,김진철,,,,,,생명,강원
단국대학교(천안),생명과학부 미생물학과,한규동,Cancer Genomics,Metabolomics,Metagenomics,,,생명,충청
인제대학교,의생명과학과,김동규,,,,,,생명,경상
충북대학교,응용생명공학부 특용식물학전공,조현우,,,,,,생명,충청
부산대학교,치의생명과학과,이지혜,유전학,희귀질환,노랑초파리,,,생명,부산
부산대학교,의생명융합공학부,정상화,광학이미징,나노입자,바이오센서,,,생명,부산
부산대학교,의생명융합공학부,권선영,다제약물 복용 진단,초거대 사전학습 약물모델,,,,생명,부산
부산대학교,의생명융합공학부,정준수,뇌접속,머신러닝,신경공학,,,생명,부산
서울대학교,수학교육과,권오남,,,,,,교육,서울
서울대학교,수학교육과,유연주,,,,,,교육,서울
경북대학교,수학과,오제한,금융수학,변분론,비선형 방정식,,,수학,경상
경북대학교,수학과,최하영,,,,,,수학,경상
인하대학교,수학과,신희성,계산수학,대수,조합수학,,,수학,인천
연세대학교(미래),수학과,권혁남,딥러닝,수치해석,역문제,,,수학,강원
숙명여자대학교,수학교육전공,김선홍,,,,,,교육,서울
한국뉴욕주립대학교,응용수학통계학과,오수일,Factors,Metchings,Colorings,,,수학,인천
연세대학교,응용통계학과,송경우,기계학습,인과추론,통계,,,수학,서울
성균관대학교,톻계학과,이경재,,,,,,수학,서울
건국대학교,응용통계학과,김성환,고객 추천 알고리즘,3D point cloud data,Object detection,,,수학,서울
건국대학교,응용통계학과,조영주,생물통계,의학통계,인과추론,,,수학,서울
서울시립대학교,통계학과,전종준,URBAN BIG DATA,DEEP LEARNING MOLECULARS STRUCTURE,CAUSALLY ENTANGLE GENRATIVE MODEL,,,수학,서울
서울대학교,심리학과,차지욱,data science,genetics,precision medicine,,,심리,서울
부산대학교,심리학과,곽세열,노년기 심리장애,뇌영상,심리검사,,,심리,경상
서울대학교,심리학과,고성룡,,,,,,심리,서울
서울대학교,심리학과,곽금주,,,,,,심리,서울
서울대학교,심리학과,권석만,,,,,,심리,서울
서울대학교,심리학과,박주용,,,,,,심리,서울
서울대학교,심리학과,안우영,,,,,,심리,서울
서울대학교,심리학과,이훈진,,,,,,심리,서울
고려대학교,심리학과,김학진,,,,,,심리,서울
고려대학교,심리학과,허지원,,,,,,심리,서울
성신여자대학교,심리학과,서수연,,,,,,심리,서울
성신여자대학교,심리학과,조영일,,,,,,심리,서울
아주대학교,심리학과,김완석,,,,,,심리,경기
아주대학교,심리학과,김경일,,,,,,심리,경기
가톨릭대학교,심리학전공,정윤경,,,,,,심리,경기
전북대학교,심리학과,김종완,,,,,,심리,전라
충남대학교,심리학과,민윤기,,,,,,심리,충청
충남대학교,심리학과,이선희,,,,,,심리,충청
이화여자대학교,심리학과,김수영,,,,,,심리,서울
이화여자대학교,심리학과,안현의,,,,,,심리,서울
강원대학교,행정심리학부,이종선,,,,,,심리,강원
대구가톨릭대학교,심리학과,박은영,,,,,,심리,경상
대구가톨릭대학교,심리학과,허창구,,,,,,심리,경상
한신대학교,심리학과,이경숙,,,,,,심리,경기
인제대학교,상담심리치료학과,김명찬,,,,,,심리,경상
인제대학교,상담심리치료학과,김영근,,,,,,심리,경상
한림대학교,심리학과,이주일,,,,,,심리,강원
전남대학교,심리학과,노안영,,,,,,심리,전라
KAIST,전기및전자공학부,장민석,2차원 물질,나노광학,디스플레이,,,전자,충청
KAIST,전기및전자공학부,명현,SLAM,AI,Robot navigation,,,전자,충청
POSTECH,전자전기공학과,오태현,Computer Vision,Machine Learning,Sensor Fusion,,,전자,경상
POSTECH,전자전기공학과,이병훈,강유전체,다치로직,로직소자,,,전자,경상
POSTECH,전자전기공학과,채수용,고장검출,분산전원,전력전자,,,전자,경상
POSTECH,전자전기공학과,김용준,coding theory,Machine Learning,communications,,,전자,경상
POSTECH,전자전기공학과,박진홍,2D 물질,C-FET,3D DRAM,,,전자,경상
POSTECH,전자전기공학과,신세윤,Energy Harvesting IC,Mixed Signal IC,쪴,,,전자,경상
연세대학교,전기전자공학부,송홍엽,디지털통신이론,채널코딩,PN sequences,,,전자,서울
연세대학교,전기전자공학부,박관서,반도체,혼성신호,회로설계,,,전자,서울
한양대학교,융합전자공학부,홍송남,Machine learning,Optimization,Reinforcement Learning,,,전자,서울
한양대학교,융합전자공학부,송익현,RF회로,광대역회로,방사선영향,,,전자,서울
한양대학교,융합전자공학부,정예환,디스플레이,반도체,신소재,,,전자,서울
한양대학교,융합전자공학부,정해준,AR,광학,메타렌즈,,,전자,서울
UNIST,전기전자공학과,김진국,전자기파,정전기 방전,집적회로 설계,,,전자,경상
UNIST,전기전자공학과,이종원,Metasurfaces,Nonlinear optics,Plasmonics,,,전자,경상
UNIST,전기전자공학과,권지민,단일3차원집적,유연인쇄전자,차세대 반도체,,,전자,경상
중앙대학교,전자전기공학부,최우준,3차원 광 CT,간섭계 기반 나노 계측 현미경,표면증강 라만 분관 현미경,,,전자,서울
서강대학교,전자공학과,장주욱,블록체인,사물인터넷,인터넷 통신,,,전자,서울
한양대학교(에리카),전자공학부,이성온,물체인식,의료로봇,의료영상처리,,,전자,경기
한양대학교(에리카),전자공학부,이은수,머신러닝,무선전력,전력전자,,,전자,경기
경북대학교,전자공학부,이상문,네트웍기반제어,모방학습,물리지능,,,전자,경상
경북대학교,전자공학부,박준구,네트워크 기반 측위,항법,Navigation,,,전자,경상
경북대학교,전자공학부,한병철,고급제어,전동기,전력전자,,,전자,경상
인하대학교,전자공학과,김영진,모바일 컴퓨팅,인공지능,자원최적화,,,전자,인천
경희대학교(국제),전자공학과,최민석,content delivery network,edge computing,federated learning,,,전자,경기
경희대학교(국제),전자공학과,고한얼,Mobile Core Networks,Network Automation,Softwarized Networking,,,전자,경기
강원대학교,전자공학과,오승원,광소자,광학,디스플레이,,,전자,강원
GIST,전기전자컴퓨터공학부,강동호,그래핀,광전소자,나노물질,,,전자,전라
GIST,전기전자컴퓨터공학,송영민,포토닉스,생체모방,광전자,,,전자,전라
연세대학교,전기전자공학,송홍엽,#디지털통신이론 #채널코딩,,,,,전자,서울
고려대학교,전기전자공학,고영채,,,,,,전자,서울
고려대학교,전기전자공학,김중헌,,,,,,전자,서울
연세대학교,전기전자공학,박관서,High-Speed Link,집적회로,혼성신호,,,전자,서울
한양대학교,융합전기전자공학,홍송남,Reinforcement Learning,machine learning,Optimization,,,전자,서울
한양대학교,융합전기전자공학,송익현,RF회로,방사선영향,광대역회로,,,전자,서울
서울대학교,국악과,김승근,,,,,,예체능,서울
서울대학교,국악과,임재원,,,,,,예체능,서울
서울대학교,국악과,이지영,,,,,,예체능,서울
서울대학교,국악과,양경숙,,,,,,예체능,서울
서울대학교,국악과,김우진,,,,,,예체능,서울
서울대학교,국악과,김경아,,,,,,예체능,서울
서울대학교,국악과,허윤정,,,,,,예체능,서울
중앙대학교,미술디자인학과,서혜옥,,,,,,예체능,서울
경희대학교,체육대학원,이만균,,,,,,예체능,서울
장안대학교,생활체육과,김태호,,,,,,예체능,경기
단국대학교,음악학부,이지은,,,,,,예체능,경기
KAIST,화학과,강진영,구조생물학,생화학,cryo-EM,,,화학,충청
기초과학연구원,나노물질 및 화학반응 연구단,김종구,Protein dynamics,Structural dynamics,X-ray electron laser,,,화학,서울
고려대학교,화학과,Stefan Ringe,electrochemistry,Machine Learning,quantum chemistry,,,화학,서울
강원대학교,화학과,임주현,,,,,,화학,강원
아주대학교,화학공학과,심태섭,광결정,연성로봇,자기조립,,,화학,경기
중앙대학교,화학공학과,홍성관,생화학,대사생화학,동물실험,,,화학,서울
한밭대학교,화학생명공학과,윤창민,반도체 소재,탄소,반도체,,,화학,충청
충남대학교,응용화학공학과,노고산,,,,,,화학,충청
숙명여자대학교,화학과,이민희,,,,,,화학,서울
충북대학교,공업화학과,조중상,배터리,재료공학,탄소복합소재,,,화학,충청
충북대학교,공업화학과,강동우,BET,Deep Eutectic Solvents,공용융매,,,화학,충청
국민대학교,응용화학부,이석묵,CAR/NK,면역세포 치료제,면역항암제,,,화학,서울
인하대학교,화학과,김민규,리튬 이온 전지,배터리,이차 전지,,,화학,인천
UST,의약화학과,김도연,,,,,,화학,충청
부경대학교,공업화학과,조계용,Batteries,Electrocatalysts,MOFs,,,화학,경상
동아대학교,화학공학과,양수철,고분자,나노,디바이스,,,화학,경상
광운대학교,화학과,사영진,,,,,,화학,서울
광운대학교,화학과,장홍제,,,,,,화학,서울
계명대학교,화학공학과,안유찬,,,,,,화학,경상
상명대학교(천안),그린화학공학과,강성민,기능성 재료,오가노이드,콜로이드,,,화학,서울
한국기술교육대학교,응용화학공학과,정용주,,,,,,화학,충청
한국교통대학교,나노화학소재공학과,김환,골조직공학,생체재료,재료의학,,,화학,충청
군산대학교,화학과,이민재,,,,,,화학,전라
부경대학교,화학과,박명기,,,,,,화학,경상
한국화학연구원,정밀바이오화학연구본부,안도원,광경화,점착제,고분자,,,화학,경상
한국에너지기술연구원 광주,친환경에너지연구센터,마지영,배터리,분리막,전기화학,,,화학,광주
부산대학교,화공생명환경공학부,제정호,CO2 업사이클링,바이오화학,수소,,,화학,경상
부산대학교,화공생명환경공학,이인규,공정설계,공정시스템,공정에너지평가,,,화학,경상
성균관대학교,화학공학솨,조수연,공정분석시스템,인공지능 센서 분석,센서 소재,,,화학,경기
경북대학교,응용화학공학,전종호,Organic synthesis,Diagnosis,molecular imaging,,,화학,경상
한국화학연구원,정밀바이오공학연구 ,유영창,controlled Radical polymerization,Vitrimers,Recyclable polymer materials,,,화학,경상
서울대학교,화학생물공학부,김소연,,,,,,화학,서울
서울대학교,화학생물공학부,김대형,,,,,,화학,서울
서울대학교,화학생물공학부,김도희,,,,,,화학,서울
서울대학교,화학생물공학부,김병기,,,,,,화학,서울
서울대학교,화학생물공학부,김병수,,,,,,화학,서울
서울대학교,화학생물공학부,김영규,,,,,,화학,서울
서울대학교,화학생물공학부,김재정,,,,,,화학,서울
서울대학교,화학생물공학부,남재욱,,,,,,화학,서울
KAIST,생명화학공학과,고동연,,,,,,화학,충청
KAIST,생명화학공학과,김도현,,,,,,화학,충청
KAIST,화학과,임미희,,,,,,화학,충청
POSTECH,화학공학과,김진곤,,,,,,화학,경상
POSTECH,화학공학과,조길원,고분자,유기전자 소재,유무기 하이브리드 소재,,,화학,경상
POSTECH,화학공학과,김영기,마이크로봇,액정,연성 물질,,,화학,경상
POSTECH,화학공학과,이준구,생화학,합성생물학,화학생물학,,,화학,경상
POSTECH,화학공학과,한지훈,ESG,인공지능,수소,,,화학,경상
POSTECH,화학공학과,손재성,Thin film,Thermoelectrics,Nanoparticle,,,화학,경상
부경대학교,화학공학과,이창수,고분자,기체분리막,슈퍼커패시터,,,화학,경상
